Entity,Year,Gold_mean,Gold_std,Total_mean,Total_std,n_seeds
Algeria,2028,1.0724706411361695,0.17788411208463542,3.7223565101623537,1.041206861551234,5
Argentina,2028,1.2981392383575439,0.11483732708921128,4.457734680175781,0.8514016853747183,5
Armenia,2028,1.132832908630371,0.19778048143514243,3.945886421203613,1.0508814187052993,5
Australia,2028,20.31408233642578,0.6645945581682623,56.34998397827148,1.9743892153835545,5
Austria,2028,1.546920895576477,0.22779380966483334,5.255883407592774,1.2464915253757347,5
Azerbaijan,2028,2.304400825500488,0.29185696381492593,7.674629783630371,1.4727574704350628,5
Bahamas,2028,0.943538761138916,0.09942640290143424,3.307714748382568,0.7744543093727887,5
Belarus,2028,1.2869271993637086,0.146938734980993,4.453588199615479,0.8760703813855121,5
Belgium,2028,2.79844651222229,0.2214562984866633,10.499515914916993,0.2476567616380904,5
Brazil,2028,7.061037921905518,0.728639106605549,22.393388748168945,1.1945943416503046,5
Bulgaria,2028,2.072610354423523,0.20709200884679366,6.880157566070556,1.283123243341599,5
Cameroon,2028,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,5
Canada,2028,8.079781627655029,0.44544105272301826,23.918009185791014,1.51756873525054,5
Chile,2028,0.8339934349060059,0.17544591933278264,2.944828987121582,0.986896445605969,5
China,2028,33.79967575073242,0.6251908190314781,91.00714569091797,2.6749727548901623,5
Chinese Taipei,2028,2.1837066173553468,0.2485351647255384,7.258626556396484,1.391075647338071,5
Colombia,2028,1.4402005910873412,0.150455882700311,4.940460968017578,0.918539278190451,5
Croatia,2028,2.744042491912842,0.16881178000183425,8.975561618804932,0.9934356353146752,5
Cuba,2028,4.003918600082398,0.31539094112606014,12.753075981140137,1.1335975569235244,5
Czech Republic,2028,2.7041831493377684,0.17141132197287473,8.859711933135987,1.22958788917454,5
Denmark,2028,3.0103018283843994,0.22165728073980448,9.838107299804687,1.3926426890048766,5
Dominican Republic,2028,1.106719970703125,0.21158337519337223,3.849958801269531,1.111725546562898,5
Egypt,2028,1.2947062253952026,0.1908187927447323,4.462501907348633,1.0849958890855165,5
Estonia,2028,0.785328459739685,0.1469911387239345,2.787199306488037,0.8754876436013406,5
Ethiopia,2028,1.4967008352279663,0.16710322596135907,5.111293888092041,1.0298266574848174,5
Finland,2028,0.8052567958831787,0.1359888011822855,2.975480079650879,0.7100816359165858,5
France,2028,20.349541473388673,0.5268336789721848,56.50587005615235,1.8532505569812607,5
Georgia,2028,2.3818317890167235,0.1826373931095354,7.8553001403808596,1.2384073901466135,5
Germany,2028,16.638857078552245,2.121728766341626,47.255828857421875,4.276287331599148,5
Ghana,2028,0.6543103933334351,0.17200575097891496,2.345773696899414,0.9109589525521297,5
Great Britain,2028,28.313616943359374,1.3699903247473981,77.46545715332032,2.8336778277921484,5
Greece,2028,2.3078804492950438,0.10973009627812733,8.480078315734863,0.35770791145120534,5
Hong Kong,2028,1.4069128274917602,0.20082683755339698,4.805526542663574,1.1583609129500947,5
Hungary,2028,6.535639667510987,0.6536728690250913,19.93067398071289,1.5594553160806752,5
India,2028,1.342390513420105,0.2515877061001169,4.630376243591309,1.2573555296121461,5
Indonesia,2028,1.4605187892913818,0.14525593586565508,4.9738694190979,1.0100052122253842,5
Iran,2028,2.950348663330078,0.2002337908021711,9.612196731567384,1.3652126104658753,5
Ireland,2028,1.9978354930877686,0.2207480903504424,6.632374477386475,1.3123360631308878,5
Israel,2028,1.5073590517044066,0.21515937005662344,5.1351336479187015,1.2051453322253916,5
Italy,2028,13.885658836364746,1.2138914636493698,39.92411651611328,2.413961881481069,5
Jamaica,2028,2.843713569641113,0.23728810867561004,9.280652618408203,0.9316765810713503,5
Japan,2028,25.16059265136719,0.9348258189666131,68.97610168457031,2.229690816845645,5
Kazakhstan,2028,2.2306636810302733,0.2645883032242172,7.454075813293457,1.3688414418410821,5
Kenya,2028,3.978728103637695,0.2816712963731279,12.66577320098877,1.15777100131292,5
Latvia,2028,0.7599761486053467,0.14815651705375302,2.699911689758301,0.8784309383090766,5
Lithuania,2028,0.956290888786316,0.213230337492796,3.3663476943969726,1.071697142516129,5
Malaysia,2028,0.9167877674102783,0.1917024373577537,3.2389302253723145,0.9962699132373735,5
Mexico,2028,1.5337290287017822,0.17374254356828928,6.136463928222656,0.4669748511361084,5
Moldova,2028,0.8490195989608764,0.2157220212018859,3.004132556915283,1.0738045194884296,5
Mongolia,2028,0.8587234020233154,0.1890440150489533,3.043928527832031,0.9860119003654148,5
Morocco,2028,0.9726842880249024,0.15017183297245915,3.4026049613952636,0.9490441649582371,5
Netherlands,2028,12.87630558013916,1.1942672727000014,37.13366165161133,2.4787002155936673,5
New Zealand,2028,7.3158551216125485,0.5435585527442196,22.070316314697266,1.4072132825348918,5
Nigeria,2028,0.713201355934143,0.17341279435786572,2.548324203491211,0.920553013632322,5
North Korea,2028,1.2390719413757325,0.17809117148172077,4.28761854171753,1.0043627543023745,5
Norway,2028,2.586904525756836,0.21695914512216272,8.467386531829835,1.3948466656446874,5
Pakistan,2028,0.7846160411834717,0.16441871517761913,2.7780320167541506,0.9481708872350961,5
Philippines,2028,1.3491904020309449,0.1869069084249144,4.618399047851563,1.1131000733970078,5
Poland,2028,3.0269257545471193,0.22674618950818093,9.892506790161132,1.4198700458774474,5
Portugal,2028,1.2057130575180053,0.19390754742163294,4.167424964904785,1.09103622418886,5
Puerto Rico,2028,0.8994861841201782,0.13521098104250096,3.1657127380371093,0.8724677234676138,5
Qatar,2028,0.949938440322876,0.1339988432227139,3.334035110473633,0.8783259645989236,5
Romania,2028,2.0029712200164793,0.25137946018728274,6.672301959991455,1.3747619698521734,5
Russia,2028,18.85877799987793,1.347387467622662,52.977471923828126,2.3455438764580285,5
Serbia,2028,2.4606861114501952,0.14566495407157462,8.094539356231689,1.1231887197326889,5
Singapore,2028,0.7413732051849365,0.1497842091906032,2.6364068031311034,0.8714022803488954,5
Slovakia,2028,1.1124675512313842,0.11192245048205247,3.868733787536621,0.7966491974695148,5
Slovenia,2028,1.6978424072265625,0.10361853165672417,5.711686515808106,0.9377855312163389,5
South Africa,2028,1.724242925643921,0.1655445645203199,5.8300739288330075,1.0493282627713723,5
South Korea,2028,10.238674736022949,1.0544720759102955,30.325336456298828,2.22239519216456,5
Spain,2028,5.846368789672852,0.38777953646340557,19.275407791137695,0.2872171256425904,5
Sweden,2028,3.6126797676086424,0.07914405623543602,12.464147758483886,0.6909001635806327,5
Switzerland,2028,2.596618890762329,0.18481644439566125,8.554278469085693,1.2371832109036334,5
Thailand,2028,1.5285946607589722,0.1506597028669784,5.200394821166992,1.0074891760957376,5
Trinidad and Tobago,2028,0.645011568069458,0.1680881983458117,2.3141171455383303,0.8970605231605524,5
Tunisia,2028,1.1254832744598389,0.16793844212531947,3.9045440673828127,1.003338092337091,5
Turkey,2028,2.1661734104156496,0.28646953641007067,7.248879528045654,1.461581712118003,5
Uganda,2028,1.1490358114242554,0.13856203138024317,3.9745957374572756,0.9480424324507692,5
Ukraine,2028,3.447201061248779,0.33372875349228776,11.161783027648926,1.7688174247559036,5
United States,2028,38.74712371826172,2.082728117615768,103.53394927978516,5.466104714215505,5
Uzbekistan,2028,4.245709419250488,0.2389090558591685,13.38143539428711,1.3089800285832625,5
Venezuela,2028,0.9127153873443603,0.1517537726359499,3.22016019821167,0.895477697671878,5
