metric,mean,std
epochs_run,13.0,6.48074069840786
best_epoch,7.0,6.48074069840786
train_MSE_Gold,15.538553347937057,1.0949774906596696
train_RMSE_Gold,3.93989697124601,0.14037985923720608
train_MAE_Gold,1.7562517474752686,0.046514346165937866
train_WMAE_Gold,7.741131980043735,0.4216894273097027
train_MSE_Total,82.6598063647265,5.3087191900852675
train_RMSE_Total,9.08797102000673,0.2928077531511534
train_MAE_Total,4.341983409708801,0.29977057883037295
train_WMAE_Total,16.105774191350154,1.0537848580095894
val_MSE_Gold,11.611511559243699,1.1328738231621456
val_RMSE_Gold,3.4042439613780564,0.16820601455035727
val_MAE_Gold,1.7760712516017076,0.03290601525708378
val_WMAE_Gold,3.5621800211913714,0.12800187835384005
val_MSE_Total,65.44138672950508,4.873925765641859
val_RMSE_Total,8.085066746025507,0.3022466745425186
val_MAE_Total,4.102010595507737,0.15990938004001604
val_WMAE_Total,8.577670480422393,0.5058844349428936
