seed,epochs_run,best_epoch,train_MSE_Gold,train_RMSE_Gold,train_MAE_Gold,train_WMAE_Gold,train_MSE_Total,train_RMSE_Total,train_MAE_Total,train_WMAE_Total,val_MSE_Gold,val_RMSE_Gold,val_MAE_Gold,val_WMAE_Gold,val_MSE_Total,val_RMSE_Total,val_MAE_Total,val_WMAE_Total
0,8,2,16.56125688529682,4.069552418300669,1.7621650926327457,8.054813145163322,89.25981382989235,9.447741202525203,4.705325438170483,16.483169611385613,12.490467049784412,3.5341854860468787,1.7954358095076026,3.5973561033947776,70.77675173476538,8.412891995905177,4.1836307426778285,8.484598331597015
1,16,10,14.948133709463166,3.8662816386630663,1.6766711706068458,7.64141844243917,79.22240454008006,8.900696856992719,4.2604965395213,15.631650410929932,10.654757683944357,3.2641626313565255,1.726586928454841,3.570309231663478,60.78237300551637,7.796305086739254,4.05496495235257,8.396369497284635
2,23,17,13.91515608780897,3.730302412380124,1.7985073655116848,7.053819845686034,75.64935058449774,8.69766351294977,4.604840171046373,14.605672933259207,10.124446053406867,3.1818934698394394,1.7871420397991087,3.4267556101311256,59.95710089569998,7.743197071991645,4.334238744363552,7.870359762934328
3,10,4,15.965897719963715,3.9957349411545953,1.770031452178955,7.88156560200054,83.94941987193342,9.162391602192814,4.11051048675896,16.380073914986202,12.464329397579634,3.5304857169488217,1.761064689333846,3.4639278595684138,69.11274747638008,8.313407693381823,4.012695306684913,9.06714611708663
4,8,2,16.302322337152603,4.0376134457315995,1.7738836564461113,8.07404286492961,85.21804299722892,9.231361925373141,4.028744413046887,17.428304086189815,12.323557611503215,3.5104925026986193,1.81012679091314,3.752551301199061,66.57796053516358,8.159531882109635,3.924523231459827,9.06987869320935
