Entity,Year,Gold_true,Gold_trend,Gold_trend_std,Total_true,Total_trend,Total_trend_std,Split
Algeria,1964,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Algeria,1968,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Algeria,1972,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Algeria,1976,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Algeria,1980,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Algeria,1984,0.0,0.6206924676895141,0.16948130963684352,2.0,2.2302955627441405,0.8996627944026236,train
Algeria,1988,0.0,0.7153530836105346,0.19032908262914083,0.0,2.5526006698608397,0.9769118706903855,train
Algeria,1992,1.0,0.6884437322616577,0.17470677482356542,2.0,2.4629925727844237,0.9228991973352061,train
Algeria,1996,2.0,0.8862455368041993,0.17351088956305288,3.0,3.1213429450988768,0.9826581986053036,train
Algeria,2000,1.0,1.1758590936660767,0.16074927272113587,5.0,4.053656005859375,1.0249072496321867,train
Algeria,2004,0.0,1.402836227416992,0.1429025070890521,0.0,4.791071891784668,0.9934377459558303,train
Algeria,2008,0.0,1.0691699028015136,0.10740853367657133,2.0,3.726506996154785,0.777022350047617,train
Algeria,2012,1.0,0.8972575187683105,0.1561287464436701,1.0,3.16760196685791,0.8986535246837076,train
Algeria,2016,0.0,0.8550620555877686,0.1701704323710369,2.0,3.017651176452637,0.9719284507918224,train
Algeria,2020,0.0,0.8734601974487305,0.16265450753426264,0.0,3.0847434043884276,0.9353785869345586,val
Algeria,2024,2.0,0.7629615545272828,0.1451665690513994,3.0,2.7118271827697753,0.8562540311893175,val
Argentina,1964,0.0,0.9725818157196044,0.16251346812236686,1.0,3.419374179840088,0.9228147528451704,train
Argentina,1968,0.0,0.7862076997756958,0.18247401296755258,2.0,2.7979726791381836,0.9577102306359957,train
Argentina,1972,0.0,0.799647855758667,0.19008767080544542,1.0,2.8426513671875,0.9849679916292122,train
Argentina,1976,0.0,0.7608550071716309,0.18367438842874095,0.0,2.7106206893920897,0.9597398656351706,train
Argentina,1980,0.0,0.7037919998168946,0.16948013572127607,0.0,2.516306209564209,0.9062177913601498,train
Argentina,1984,0.0,0.645011568069458,0.1680881983458117,0.0,2.3141171455383303,0.8970605231605524,train
Argentina,1988,0.0,0.6206924676895141,0.16948130963684352,2.0,2.2302955627441405,0.8996627944026236,train
Argentina,1992,0.0,0.7153530836105346,0.19032908262914083,1.0,2.5526006698608397,0.9769118706903855,train
Argentina,1996,0.0,0.7359162092208862,0.18502988726767403,3.0,2.6246771812438965,0.9619783997576766,train
Argentina,2000,0.0,0.8499950647354126,0.2014658712784866,4.0,3.0106640815734864,1.0272554497323725,train
Argentina,2004,2.0,0.9492825031280517,0.223078617587825,6.0,3.3411535263061523,1.1054401946105046,train
Argentina,2008,2.0,1.4446433544158936,0.25122817039874873,6.0,4.936293029785157,1.2894408239568187,train
Argentina,2012,1.0,1.7666794538497925,0.21564057121457794,4.0,5.9451807022094725,1.241952737303637,train
Argentina,2016,3.0,1.6941043615341187,0.1250581570638776,4.0,5.724159145355225,0.9474383150857149,train
Argentina,2020,0.0,1.8145596742630006,0.12899386954044545,3.0,6.0765026092529295,1.0130280076018445,val
Argentina,2024,1.0,1.3448576927185059,0.11274463522000884,3.0,4.612238788604737,0.8539455397657212,val
Armenia,1964,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Armenia,1968,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Armenia,1972,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Armenia,1976,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Armenia,1980,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Armenia,1984,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Armenia,1988,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Armenia,1992,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Armenia,1996,1.0,0.6206924676895141,0.16948130963684352,2.0,2.2302955627441405,0.8996627944026236,train
Armenia,2000,0.0,0.8339934349060059,0.17544591933278264,1.0,2.944828987121582,0.986896445605969,train
Armenia,2004,0.0,0.8079472541809082,0.1579017361605035,0.0,2.863251781463623,0.9147278907890198,train
Armenia,2008,0.0,0.753896975517273,0.14168717056702457,5.0,2.680972385406494,0.8431571533693185,train
Armenia,2012,0.0,0.8906654834747314,0.22383587872601407,2.0,3.1424270629882813,1.102481617266884,train
Armenia,2016,1.0,0.8938130855560302,0.20651140347413327,4.0,3.158779430389404,1.0473861603658035,train
Armenia,2020,0.0,1.159259843826294,0.21105430543023526,4.0,4.024370574951172,1.110444014568989,val
Armenia,2024,0.0,1.0987194061279297,0.2017249526450644,4.0,3.8294316291809083,1.0729818896780474,val
Australia,1964,6.0,10.809184455871582,0.7814036238571903,18.0,32.51786346435547,1.6250837044710749,train
Australia,1968,5.0,10.492999076843262,1.6318177127190738,17.0,31.723006439208984,3.410317437908396,train
Australia,1972,8.0,6.886819839477539,0.8276830463765245,17.0,21.872144317626955,1.3336490445484497,train
