Country,Year,Gold_trend,Gold_trend_std,Total_trend,Total_trend_std,Host_prob,Gold_true,Total_true,IsHost_true,Split,n_seeds
Algeria,1964,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
Algeria,1968,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
Algeria,1972,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
Algeria,1976,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
Algeria,1980,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
Algeria,1984,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,2.0,0.0,train,5
Algeria,1988,0.7153530836105346,0.19032908262914094,2.5526006698608397,0.9769118706903855,0.03357344251126046,0.0,0.0,0.0,train,5
Algeria,1992,0.6884437322616577,0.17470677482356542,2.4629925727844237,0.9228991973352061,0.03357344251126046,1.0,2.0,0.0,train,5
Algeria,1996,0.8862455368041993,0.17351088956305288,3.1213429450988768,0.9826581986053039,0.03357344251126046,2.0,3.0,0.0,train,5
Algeria,2000,1.1758590936660767,0.16074927272113593,4.053656005859375,1.0249072496321865,0.03357344251126046,1.0,5.0,0.0,train,5
Algeria,2004,1.402836227416992,0.1429025070890521,4.791071891784668,0.9934377459558303,0.03357344251126046,0.0,0.0,0.0,train,5
Algeria,2008,1.0691699028015136,0.10740853367657135,3.726506996154785,0.7770223500476169,0.03357344251126046,0.0,2.0,0.0,train,5
Algeria,2012,0.8972575187683105,0.1561287464436701,3.16760196685791,0.8986535246837076,0.03357344251126046,1.0,1.0,0.0,train,5
Algeria,2016,0.8550620555877686,0.1701704323710369,3.017651176452637,0.9719284507918226,0.03357344251126046,0.0,2.0,0.0,train,5
Algeria,2020,0.8734601974487305,0.16265450753426264,3.0847434043884276,0.9353785869345587,0.03357344251126046,0.0,0.0,0.0,val,5
Algeria,2024,0.7629615545272828,0.1451665690513994,2.7118271827697753,0.8562540311893175,0.03357344251126046,2.0,3.0,0.0,val,5
Argentina,1964,0.9725818157196044,0.16251346812236686,3.419374179840088,0.9228147528451706,0.03357344251126046,0.0,1.0,0.0,train,5
Argentina,1968,0.7862076997756958,0.18247401296755258,2.7979726791381836,0.9577102306359955,0.03357344251126046,0.0,2.0,0.0,train,5
Argentina,1972,0.799647855758667,0.19008767080544542,2.8426513671875,0.9849679916292121,0.03357344251126046,0.0,1.0,0.0,train,5
Argentina,1976,0.7608550071716309,0.18367438842874087,2.7106206893920897,0.9597398656351704,0.03357344251126046,0.0,0.0,0.0,train,5
Argentina,1980,0.7037919998168946,0.16948013572127607,2.516306209564209,0.9062177913601499,0.03357344251126046,0.0,0.0,0.0,train,5
Argentina,1984,0.645011568069458,0.16808819834581176,2.3141171455383303,0.8970605231605525,0.03357344251126046,0.0,0.0,0.0,train,5
Argentina,1988,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,2.0,0.0,train,5
Argentina,1992,0.7153530836105346,0.19032908262914094,2.5526006698608397,0.9769118706903855,0.03357344251126046,0.0,1.0,0.0,train,5
Argentina,1996,0.7359162092208862,0.18502988726767403,2.6246771812438965,0.9619783997576766,0.03357344251126046,0.0,3.0,0.0,train,5
Argentina,2000,0.8499950647354126,0.20146587127848672,3.0106640815734864,1.0272554497323725,0.03357344251126046,0.0,4.0,0.0,train,5
Argentina,2004,0.9492825031280517,0.22307861758782507,3.3411535263061523,1.1054401946105046,0.03357344251126046,2.0,6.0,0.0,train,5
Argentina,2008,1.4446433544158936,0.25122817039874873,4.936293029785157,1.2894408239568187,0.03357344251126046,2.0,6.0,0.0,train,5
Argentina,2012,1.7666794538497925,0.21564057121457797,5.9451807022094725,1.241952737303637,0.03357344251126046,1.0,4.0,0.0,train,5
Argentina,2016,1.6941043615341187,0.1250581570638776,5.724159145355225,0.9474383150857145,0.03357344251126046,3.0,4.0,0.0,train,5
Argentina,2020,1.8145596742630006,0.12899386954044548,6.0765026092529295,1.0130280076018445,0.03357344251126046,0.0,3.0,0.0,val,5
Argentina,2024,1.3448576927185059,0.11274463522000899,4.612238788604737,0.853945539765721,0.03357344251126046,1.0,3.0,0.0,val,5
Armenia,1964,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
Armenia,1968,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
Armenia,1972,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
Armenia,1976,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
Armenia,1980,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
Armenia,1984,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
Armenia,1988,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
Armenia,1992,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,0.0,0.0,0.0,train,5
Armenia,1996,0.6206924676895141,0.16948130963684352,2.2302955627441405,0.8996627944026236,0.03357344251126046,1.0,2.0,0.0,train,5
Armenia,2000,0.8339934349060059,0.17544591933278264,2.944828987121582,0.986896445605969,0.03357344251126046,0.0,1.0,0.0,train,5
Armenia,2004,0.8079472541809082,0.1579017361605035,2.863251781463623,0.9147278907890198,0.03357344251126046,0.0,0.0,0.0,train,5
Armenia,2008,0.753896975517273,0.14168717056702454,2.680972385406494,0.8431571533693185,0.03357344251126046,0.0,5.0,0.0,train,5
Armenia,2012,0.8906654834747314,0.22383587872601407,3.1424270629882813,1.102481617266884,0.03357344251126046,0.0,2.0,0.0,train,5
Armenia,2016,0.8938130855560302,0.20651140347413327,3.158779430389404,1.0473861603658035,0.03357344251126046,1.0,4.0,0.0,train,5
Armenia,2020,1.159259843826294,0.21105430543023526,4.024370574951172,1.110444014568989,0.03357344251126046,0.0,4.0,0.0,val,5
Armenia,2024,1.0987194061279297,0.20172495264506443,3.8294316291809083,1.0729818896780474,0.03357344251126046,0.0,4.0,0.0,val,5
Australia,1964,10.809184455871582,0.78140362385719,32.51786346435547,1.6250837044710733,0.08726975582540031,6.0,18.0,0.0,train,5
Australia,1968,10.492999076843262,1.6318177127190738,31.723006439208984,3.4103174379083967,0.07535599730908868,5.0,17.0,0.0,train,5
Australia,1972,6.886819839477539,0.8276830463765245,21.872144317626955,1.3336490445484501,0.07178510576486583,8.0,17.0,0.0,train,5
Australia,1976,6.678030776977539,0.6616594497046521,21.15471839904785,1.0580956683735225,0.0669808886945247,0.0,5.0,0.0,train,5
Australia,1980,4.346621179580689,0.4477896701115456,14.573502349853516,0.5173657539073042,0.07100574038922783,2.0,9.0,0.0,train,5
Australia,1984,3.385279417037964,0.2348364414977682,11.62067985534668,0.21927411645196415,0.07275880090892314,4.0,24.0,0.0,train,5
Australia,1988,4.0185857772827145,0.348114595660458,13.580774879455566,1.752300897426965,0.07234832718968388,3.0,14.0,0.0,train,5
Australia,1992,4.655447387695313,0.1243751517521985,15.543211746215821,0.9843756228334164,0.07292655184864993,7.0,27.0,0.0,train,5
