Country,Gold_trend_2028,Gold_trend_2028_std,Total_trend_2028,Total_trend_2028_std,Host_prob_2028,IsHost2028
United States,38.74712371826172,2.082728117615766,103.53394927978516,5.466104714215508,0.0518510233610868,1
China,33.79967575073242,0.6251908190314781,91.00714569091797,2.674972754890163,0.041336605139076645,0
Great Britain,28.313616943359374,1.3699903247474008,77.46545715332032,2.8336778277921484,0.06033305916935202,0
Japan,25.16059265136719,0.9348258189666129,68.97610168457031,2.229690816845645,0.06657273136079307,0
France,20.349541473388673,0.5268336789721862,56.50587005615235,1.8532505569812607,0.07557024620473383,0
Australia,20.31408233642578,0.6645945581682623,56.34998397827148,1.9743892153835545,0.05199484005570408,0
Russia,18.85877799987793,1.347387467622662,52.977471923828126,2.345543876458028,0.04834849424660202,0
Germany,16.638857078552245,2.1217287663416258,47.255828857421875,4.27628733159915,0.04618546888232228,0
Italy,13.885658836364746,1.2138914636493698,39.92411651611328,2.413961881481069,0.039396475255489324,0
Netherlands,12.87630558013916,1.1942672727000014,37.13366165161133,2.4787002155936673,0.038151789456605856,0
South Korea,10.238674736022949,1.0544720759102952,30.325336456298828,2.22239519216456,0.04452208839356892,0
Canada,8.079781627655029,0.44544105272301826,23.918009185791014,1.5175687352505407,0.0273242929950356,0
Brazil,7.061037921905518,0.728639106605549,22.393388748168945,1.194594341650304,0.07537363618612286,0
New Zealand,7.3158551216125485,0.5435585527442196,22.070316314697266,1.4072132825348902,0.03357344251126046,0
Hungary,6.535639667510987,0.6536728690250913,19.93067398071289,1.5594553160806737,0.03357344251126046,0
Spain,5.846368789672852,0.38777953646340557,19.275407791137695,0.2872171256425892,0.09488521926105017,0
Uzbekistan,4.245709419250488,0.23890905585916827,13.38143539428711,1.3089800285832625,0.03357344232499594,0
Cuba,4.003918600082398,0.3153909411260602,12.753075981140137,1.1335975569235244,0.03357344251126046,0
Kenya,3.978728103637695,0.2816712963731279,12.66577320098877,1.1577710013129194,0.03357344251126046,0
Sweden,3.6126797676086424,0.07914405623543608,12.464147758483886,0.6909001635806327,0.08303639478981492,0
Ukraine,3.447201061248779,0.33372875349228776,11.161783027648926,1.7688174247559036,0.03357344251126046,0
Belgium,2.79844651222229,0.2214562984866633,10.499515914916993,0.2476567616380902,0.1105219684541225,0
Poland,3.0269257545471193,0.22674618950818093,9.892506790161132,1.4198700458774474,0.03357344251126046,0
Denmark,3.0103018283843994,0.22165728073980442,9.838107299804687,1.3926426890048766,0.03357344251126046,0
Iran,2.950348663330078,0.2002337908021711,9.612196731567384,1.3652126104658755,0.03357344251126046,0
Jamaica,2.843713569641113,0.23728810867561004,9.280652618408203,0.9316765810713503,0.03357344251126046,0
Croatia,2.744042491912842,0.16881178000183442,8.975561618804932,0.9934356353146752,0.03357344251126046,0
Czech Republic,2.7041831493377684,0.17141132197287495,8.859711933135987,1.22958788917454,0.03357344251126046,0
Switzerland,2.596618890762329,0.18481644439566114,8.554278469085693,1.2371832109036334,0.03357344251126046,0
Greece,2.3078804492950438,0.10973009627812723,8.480078315734863,0.35770791145120534,0.08916767835617062,0
Norway,2.586904525756836,0.21695914512216272,8.467386531829835,1.3948466656446874,0.03357344251126046,0
Serbia,2.4606861114501952,0.14566495407157443,8.094539356231689,1.1231887197326889,0.03357344251126046,0
Georgia,2.3818317890167235,0.1826373931095354,7.8553001403808596,1.2384073901466135,0.03357344251126046,0
Azerbaijan,2.304400825500488,0.29185696381492593,7.674629783630371,1.472757470435063,0.03357344251126046,0
Kazakhstan,2.2306636810302733,0.2645883032242172,7.454075813293457,1.3688414418410817,0.03357344251126046,0
Chinese Taipei,2.1837066173553468,0.24853516472553835,7.258626556396484,1.3910756473380714,0.03357344251126046,0
Turkey,2.1661734104156496,0.28646953641007067,7.248879528045654,1.4615817121180026,0.03357344251126046,0
Bulgaria,2.072610354423523,0.2070920088467938,6.880157566070556,1.283123243341599,0.03357344251126046,0
Romania,2.0029712200164793,0.2513794601872827,6.672301959991455,1.3747619698521734,0.03357344251126046,0
Ireland,1.9978354930877686,0.22074809035044227,6.632374477386475,1.3123360631308878,0.03357344251126046,0
Mexico,1.5337290287017822,0.17374254356828928,6.136463928222656,0.4669748511361084,0.09409185275435446,0
South Africa,1.724242925643921,0.1655445645203198,5.8300739288330075,1.0493282627713723,0.03357344251126046,0
Slovenia,1.6978424072265625,0.10361853165672419,5.711686515808106,0.937785531216339,0.03357344251126046,0
Austria,1.546920895576477,0.22779380966483326,5.255883407592774,1.2464915253757347,0.03357344251126046,0
Thailand,1.5285946607589722,0.15065970286697827,5.200394821166992,1.0074891760957376,0.03357344251126046,0
Israel,1.5073590517044066,0.21515937005662342,5.1351336479187015,1.2051453322253916,0.03357344251126046,0
Ethiopia,1.4967008352279663,0.1671032259613591,5.111293888092041,1.0298266574848174,0.03357344251126046,0
Indonesia,1.4605187892913818,0.14525593586565508,4.9738694190979,1.0100052122253842,0.03357344251126046,0
Colombia,1.4402005910873412,0.150455882700311,4.940460968017578,0.9185392781904509,0.03357344251126046,0
Hong Kong,1.4069128274917602,0.20082683755339698,4.805526542663574,1.1583609129500947,0.03357344251126046,0
